53455,2914,17232,1
45238,2951,52515,5
25308,2621,75121,4
42747,2682,66451,7
51078,1374,56150,1
11442,3613,56900,3
2460,1531,18968,4
6261,504,4975,2
19510,2585,2160,1
35571,286,39950,5
27806,2698,46795,0
48606,243,16849,5
43994,1074,36259,6
10115,442,72400,0
49744,3433,70004,1
13351,3502,3062,6
33373,344,40517,4
50390,3523,22503,0
35654,2149,63765,3
10785,524,55320,4
8,1587,23082,2
52592,3988,31854,6
28863,606,50510,7
46329,2460,70675,0
18659,3410,45221,0
50966,3086,55376,3
32746,3618,54517,1
33079,1133,9241,6
41039,81,21162,6
6880,1902,14271,7
48480,3581,36820,2
26916,659,40620,0
56780,627,76590,1
531,664,52934,5
40672,2316,77203,4
58914,105,3115,0
15821,720,28003,0
52849,1641,75108,7
10687,2892,10784,6
34563,3692,48997,6
55045,1786,16746,7
2167,2270,74823,1
23505,1010,64356,3
39482,1821,75589,2
54498,2609,50206,2
41679,1126,16422,4
22660,304,65588,3
45473,2811,27828,7
59216,3477,59473,7
7680,2357,50054,5
16156,3451,2214,5
57730,1605,23274,1
22931,2766,49368,0
30126,3451,692,7
54088,2183,73655,0
15281,2467,61679,6
56723,3052,24245,5
18220,1893,43614,6
6216,726,11877,7
47295,3735,40593,4
22069,1988,18264,0
1241,1301,39984,2
35134,135,45726,5
40347,2630,48556,4
2741,911,61595,5
5568,3917,18568,5
36636,1229,77840,5
16705,2128,47823,5
39161,701,48339,1
52397,2642,6492,0
58188,3483,1459,5
50390,86,71288,3
40867,1881,37670,7
42020,160,7228,3
6206,2767,16768,2
44515,1281,74043,2
50222,3882,23333,0
8998,3618,67956,7
47369,1456,17380,0
42905,3687,34255,5
31146,2980,69780,5
39873,2102,24266,1
46075,3788,57871,0
47518,3013,14691,4
3087,1533,76716,1
3285,2026,71748,5
59109,3359,16094,0
11065,3663,70093,1
28708,776,63560,3
20542,2777,66718,5
14685,238,31068,7
33189,3042,60894,7
22296,2064,78453,5
54638,306,72186,0
19234,3449,34017,3
48264,3110,63306,0
50568,3811,42327,6
55543,3902,15371,6
47658,3988,70672,3
17613,1464,60952,1
46194,777,55667,3
39774,1026,50238,4
43985,614,15443,0
28288,1454,12569,7
51205,2311,38176,3
37123,248,55105,5
16890,1225,39772,2
51611,451,21334,7
22034,2273,30001,0
