0,10875,2541
1,44804,479
2,13189,1792
3,18484,808
4,50857,1972
5,17776,464
6,30640,468
7,53448,2078
8,18292,2503
9,3727,360
10,29799,18
11,57662,719
12,15866,2683
13,15341,3252
14,58451,1799
15,32246,1758
16,4213,1320
17,12579,3780
18,53716,1928
19,59789,2729
20,50525,930
21,3422,3675
22,51233,2307
23,33287,2427
24,11016,201
25,30202,766
26,7273,483
27,12891,3347
28,54788,1714
29,44484,489
30,15599,1239
31,42045,2155
32,14675,2332
33,2009,3945
34,44207,2403
35,30297,3402
36,10824,3933
37,57810,3668
38,57197,3811
39,12775,3832
40,46948,3867
41,59047,3254
42,9186,2390
43,2918,225
44,49823,3848
45,53618,12
46,31333,3371
47,39548,1462
48,17906,1291
49,57696,463
50,19834,2383
51,24047,1458
52,7137,2317
53,48506,2252
54,73,934
55,47744,199
56,137,373
57,29477,1165
58,11651,2623
59,22200,958
60,46947,422
61,19511,2059
62,14068,419
63,21503,775
64,35947,1553
65,33582,558
66,32026,3460
67,1884,1231
68,11779,1915
69,13804,444
70,3703,2093
71,29356,1486
72,10102,696
73,23021,517
74,24651,1958
75,44223,218
76,28935,2277
77,28261,3892
78,39439,3454
79,37776,2515
80,49727,199
81,43076,3450
82,40011,582
83,30858,293
84,4209,1112
85,4156,1431
86,9308,3489
87,33857,3126
88,52989,1955
89,12036,1586
90,8513,1843
91,38952,816
92,29265,2034
93,58821,3801
94,36034,1094
95,49869,2036
96,16770,710
97,54027,2165
98,57125,3573
99,37106,2708
100,27785,3337
101,30006,2006
102,51888,211
103,59398,3769
104,52392,3401
105,10700,401
106,48174,2128
107,47709,889
108,52210,2261
109,25451,67
110,49085,971
111,46351,284
112,22635,2873
113,15768,3659
114,7671,2046
115,41816,2268
116,44833,1682
117,57580,101
118,19335,1879
119,49350,363
120,49947,2209
121,21337,3431
122,53159,860
123,35735,1303
124,10875,3520
125,27349,3271
126,28790,1245
127,40381,3620
128,2556,2179
129,13651,3311
130,57045,2397
131,42669,2834
132,19359,138
133,33553,1411
134,6933,903
135,38858,2264
136,1301,1308
137,28770,3359
138,15073,293
139,48363,2852
140,12941,2729
141,1038,2769
142,9703,2509
143,46362,1599
144,14811,2660
145,21850,2256
146,51334,76
147,4378,3096
148,28899,1112
149,7639,578
150,46032,1902
151,15187,188
152,17568,621
153,38327,2923
154,7191,981
155,42922,15
156,27114,2217
157,12116,2182
158,10347,1848
159,2280,3963
160,15203,1260
161,32929,1641
162,16349,1387
163,15165,486
164,33255,2655
165,35987,357
166,27437,1422
167,54715,1261
168,59976,2498
169,15474,564
170,37702,326
171,51519,2694
172,16004,1304
173,55275,3461
174,10317,1196
175,20974,1360
176,4765,3232
177,43609,3421
178,888,3663
179,5078,179
180,54164,1315
181,29364,855
182,10245,1637
183,28415,2936
184,38380,275
185,6099,3792
186,4114,3439
187,24888,1544
188,8873,921
189,5529,3418
190,41803,2576
191,37026,1353
192,53894,3024
193,41067,1705
194,21926,3042
195,20577,2884
196,48981,1780
197,24915,2437
198,2286,270
199,11831,3795
200,56692,2492
201,38275,2697
202,4124,3599
203,23374,1102
204,46296,3929
205,11952,1443
206,5362,1013
207,57284,1833
208,4843,2591
209,46322,59
210,54602,73
211,3554,1196
212,11883,1713
213,14899,2198
214,34851,3734
215,25311,2221
216,24015,2315
217,7055,3578
218,49005,2908
219,10476,2255
220,9975,250
221,12138,2779
